,household_key,age_45_plus,income_50K_plus,single_couple_family,has_kids,single,couple,r_score,f_score,m_score,rfm_score,rfm_bins,alcohol,beverages,concessions,dairy,drug,garden,grain_goods,grocery,home_family,junk_food,kitchen,meat,misc,produce,seasonal,total_sales
103,302,1,0,3,1,0,0,4,4,3,11,3,0.0,78.69,42.94,89.87,142.54,0.0,159.98000000000002,40.870000000000005,262.18,394.8,9.47,230.33,121.63,112.1,25.94,1711.3399999999997
104,304,0,1,2,0,0,1,5,5,5,15,5,20.36,225.07,75.8,529.86,202.49,3.9800000000000004,604.9,289.85,1034.73,639.86,0.0,1540.36,470.23,478.62,131.67,6247.78
105,306,0,0,3,1,0,0,5,5,5,15,5,93.98,176.3,72.51,483.02,27.7,0.0,365.37,296.67,390.88,485.51,8.97,1389.1200000000001,365.42,665.15,0.0,4820.6
106,309,0,1,2,0,1,0,3,1,3,7,2,76.4,191.65,1.99,139.1,28.740000000000002,0.0,164.17000000000002,93.8,62.35,569.87,4.59,422.7,158.77,67.53,0.0,1981.6599999999999
107,314,1,1,3,1,0,0,5,1,4,10,3,0.0,94.02,24.330000000000002,506.25,115.76,0.0,196.19,87.34,293.96,53.3,0.0,657.72,136.16,331.38,1.0,2497.41
108,317,1,1,2,0,1,0,4,3,5,12,3,15.99,250.27,156.28,488.96999999999997,129.46,0.0,466.52,372.67,714.71,791.9,0.0,1199.92,426.39,424.04,9.17,5446.290000000001
109,319,1,0,3,1,0,0,4,3,4,11,3,14.36,240.91,80.08,301.15,13.67,0.0,236.9,192.31,157.21,185.65,15.1,605.61,287.54,391.24,1.0,2722.7299999999996
110,321,1,1,2,0,0,1,4,4,5,13,4,0.0,345.96000000000004,139.25,538.13,116.46000000000001,3.19,443.21,193.49,541.75,407.6,0.0,1633.94,352.31,640.3100000000001,4.49,5360.09
111,324,1,1,1,0,1,0,5,4,5,14,4,536.37,361.85,106.91,690.21,165.0,50.94,656.8100000000001,686.44,810.01,501.47,21.660000000000004,632.5,375.49,918.47,1.99,6516.12
112,325,0,1,3,1,0,0,4,3,4,11,3,91.14,116.78,26.77,313.46,31.73,0.0,319.47,128.17,453.86,481.77,12.74,371.96,112.31,213.5,0.0,2673.66
113,329,0,1,1,0,1,0,5,5,4,14,4,4.99,59.730000000000004,231.69,312.27,67.98,0.0,412.42,195.15,291.31,135.39000000000001,6.16,431.88,217.18,596.55,0.0,2962.7
114,332,0,1,3,1,0,0,5,4,5,14,4,0.0,105.26,73.59,562.98,159.73000000000002,0.0,580.25,119.88,739.5,567.05,13.97,589.03,405.84000000000003,587.62,19.43,4524.13
115,334,1,0,2,0,0,1,5,5,4,14,4,0.0,287.26,63.34,412.14,186.48,36.96,289.15,108.11,732.48,725.67,9.58,680.88,232.03,483.41,32.66,4280.150000000001
116,346,1,1,2,0,0,1,5,4,5,14,4,0.0,63.410000000000004,703.3199999999999,383.97,313.46,7.17,327.72,405.05,364.42,162.74,7.98,1241.93,408.0,894.8100000000001,0.0,5283.9800000000005
